販売日時,拠点,アイテムコード,販売前在庫,販売数,売上金額
2022-04-01,東京,A001,110,12,1200
2022-04-02,東京,A002,90,14,1400
2022-04-03,東京,A003,70,6,600
2022-04-04,東京,A001,100,16,1600
2022-04-05,東京,A002,80,18,1800
2022-04-06,東京,A003,60,10,1000
2022-04-07,東京,A001,90,8,800
2022-04-08,東京,A002,70,12,1200
2022-04-09,東京,A003,50,14,1400
2022-04-10,東京,A001,80,16,1600
2022-04-11,東京,A002,60,18,1800
2022-04-12,東京,A003,40,10,1000
2022-04-13,東京,A001,70,6,600
2022-04-14,東京,A002,50,14,1400
2022-04-15,東京,A003,30,16,1600
2022-04-16,東京,A001,60,18,1800
2022-04-17,東京,A002,40,20,2000
2022-04-18,東京,A003,20,10,1000
2022-04-19,東京,A001,50,12,1200
2022-04-20,東京,A002,30,14,1400
2022-04-21,東京,A003,10,16,1600
2022-04-22,東京,A001,40,18,1800
2022-04-23,東京,A002,20,20,2000
2022-04-24,東京,A003,5,10,1000
2022-04-25,東京,A001,30,12,1200
2022-04-26,東京,A002,10,14,1400
2022-04-27,東京,A003,0,16,1600
2022-04-28,東京,A001,20,18,1800
2022-04-29,東京,A002,0,20,2000
2022-04-30,東京,A003,10,10,1000
2022-05-01,東京,A001,10,12,1200
2022-05-02,東京,A002,0,14,1400
2022-05-03,東京,A003,10,16,1600
2022-05-04,東京,A001,0,18,1800
2022-05-05,東京,A002,10,20,2000
2022-05-06,東京,A003,0,10,1000
2022-05-07,東京,A001,10,12,1200
2022-05-08,東京,A002,0,14,1400
2022-05-09,東京,A003,10,16,1600
2022-05-10,東京,A001,0,18,1800
2022-05-11,東京,A002,10,20,2000
2022-05-12,東京,A003,0,10,1000
2022-05-13,東京,A001,10,12,1200
2022-05-14,東京,A002,0,14,1400
2022-05-15,東京,A003,10,16,1600
2022-05-16,東京,A001,0,18,1800
2022-05-17,東京,A002,10,20,2000
2022-05-18,東京,A003,0,10,1000
2022-05-19,東京,A001,10,12,1200
2022-05-20,東京,A002,0,14,1400
2022-05-21,東京,A003,10,16,1600
2022-05-22,東京,A001,0,18,1800
2022-05-23,東京,A002,10,20,2000
2022-05-24,東京,A003,0,10,1000
2022-05-25,東京,A001,10,12,1200
2022-05-26,東京,A002,0,14,1400
2022-05-27,東京,A003,10,16,1600
2022-05-28,東京,A001,0,18,1800
2022-05-29,東京,A002,10,20,2000
2022-05-30,東京,A003,0,10,1000
