販売日時,拠点,アイテムコード,販売前在庫,販売数,売上金額
2024-04-01,99,9999,10,4818536,1078005983
2024-04-02,99,9999,10,3687710,827804711
2024-04-03,99,9999,10,3540749,731667198
2024-04-04,99,9999,10,4292328,917481743
2024-04-05,99,9999,10,3432962,743976867
2024-04-06,99,9999,10,4850630,1116083846
2024-04-07,99,9999,10,5808145,1345363935
2024-04-08,99,9999,10,3904054,844379637
2024-04-09,99,9999,10,2908689,626292560
2024-04-10,99,9999,10,5166239,1051661742
2024-04-11,99,9999,10,4325848,898670865
2024-04-12,99,9999,10,3552235,761032432
2024-04-13,99,9999,10,4993323,1167846262
2024-04-14,99,9999,10,5605811,1353553831
2024-04-15,99,9999,10,3818178,852587645
2024-04-16,99,9999,10,3508078,786021965
2024-04-17,99,9999,10,4660285,952839301
2024-04-18,99,9999,10,3831368,841861360
2024-04-19,99,9999,10,3643198,798911520
2024-04-20,99,9999,10,5013733,1134870042
2024-04-21,99,9999,10,5774356,1316382492
2024-04-22,99,9999,10,3643226,781207801
2024-04-23,99,9999,10,3545318,773068906
2024-04-24,99,9999,10,3616299,743103617
2024-04-25,99,9999,10,4951163,1042778568
2024-04-26,99,9999,10,4029852,844971264
2024-04-27,99,9999,10,5052019,1207574184
2024-04-28,99,9999,10,5642113,1394057681
2024-04-29,99,9999,10,4335938,1028215448
2024-04-30,99,9999,10,3543534,799573780
2024-05-01,99,9999,10,3324017,698464015
2024-05-02,99,9999,10,4373841,998248817
2024-05-03,99,9999,10,3664028,856134613
2024-05-04,99,9999,10,4248021,987231304
2024-05-05,99,9999,10,5101822,1197911092
2024-05-06,99,9999,10,4737423,1077159125
2024-05-07,99,9999,10,3236683,701552574
2024-05-08,99,9999,10,4657166,890549966
2024-05-09,99,9999,10,4480273,914783025
2024-05-10,99,9999,10,3768821,797780155
2024-05-11,99,9999,10,4789216,1141786411
2024-05-12,99,9999,10,5664159,1418385097
2024-05-13,99,9999,10,2682860,578433098
2024-05-14,99,9999,10,3824605,863305559
2024-05-15,99,9999,10,3963483,906447844
2024-05-16,99,9999,10,3927830,890770943
2024-05-17,99,9999,10,3610460,797358618
2024-05-18,99,9999,10,4899133,1091008589
2024-05-19,99,9999,10,5910574,1325494922
2024-05-20,99,9999,10,3751924,769163164
2024-05-21,99,9999,10,3599701,780147243
2024-05-22,99,9999,10,4525225,938274303
2024-05-23,99,9999,10,4206142,895035354
2024-05-24,99,9999,10,3797790,810965325
2024-05-25,99,9999,10,5378396,1287838803
2024-05-26,99,9999,10,6285901,1555770341
2024-05-27,99,9999,10,3660580,815982900
2024-05-28,99,9999,10,2787964,613369219
2024-05-29,99,9999,10,4921584,1028908797
2024-05-30,99,9999,10,4139366,920015932
2024-05-31,99,9999,10,3192810,700197597
