販売日時,拠点,アイテムコード,販売前在庫,販売数,売上金額
2022-05-31,東京,A001,120,9,900
2022-06-01,東京,A002,85,14,1400
2022-06-02,東京,A003,70,6,600
2022-06-03,東京,A001,110,18,1800
2022-06-04,東京,A002,72,11,1100
2022-06-05,東京,A003,65,12,1200
2022-06-06,東京,A001,105,14,1400
2022-06-07,東京,A002,68,10,1000
2022-06-08,東京,A003,60,8,800
2022-06-09,東京,A001,100,15,1500
2022-06-10,東京,A002,62,13,1300
2022-06-11,東京,A003,55,7,700
2022-06-12,東京,A001,95,12,1200
2022-06-13,東京,A002,58,14,1400
2022-06-14,東京,A003,50,9,900
2022-06-15,東京,A001,90,16,1600
2022-06-16,東京,A002,55,11,1100
2022-06-17,東京,A003,45,8,800
2022-06-18,東京,A001,85,10,1000
2022-06-19,東京,A002,50,12,1200
2022-06-20,東京,A003,40,7,700
2022-06-21,東京,A001,80,14,1400
2022-06-22,東京,A002,45,16,1600
2022-06-23,東京,A003,35,6,600
2022-06-24,東京,A001,75,13,1300
2022-06-25,東京,A002,40,9,900
2022-06-26,東京,A003,30,8,800
2022-06-27,東京,A001,70,12,1200
2022-06-28,東京,A002,35,15,1500
2022-06-29,東京,A003,25,10,1000
2022-06-30,東京,A001,65,14,1400
2022-07-01,東京,A002,30,11,1100
2022-07-02,東京,A003,20,8,800
2022-07-03,東京,A001,60,12,1200
2022-07-04,東京,A002,25,16,1600
2022-07-05,東京,A003,15,10,1000
2022-07-06,東京,A001,55,18,1800
2022-07-07,東京,A002,20,20,2000
2022-07-08,東京,A003,10,7,700
2022-07-09,東京,A001,50,12,1200
2022-07-10,東京,A002,15,14,1400
2022-07-11,東京,A003,5,8,800
2022-07-12,東京,A001,45,10,1000
2022-07-13,東京,A002,10,12,1200
2022-07-14,東京,A003,5,5,500
2022-07-15,東京,A001,40,14,1400
2022-07-16,東京,A002,5,16,1600
2022-07-17,東京,A003,0,10,1000
2022-07-18,東京,A001,35,18,1800
2022-07-19,東京,A002,0,20,2000
2022-07-20,東京,A003,5,5,500
2022-07-21,東京,A001,30,9,900
2022-07-22,東京,A002,0,14,1400
2022-07-23,東京,A003,5,8,800
2022-07-24,東京,A001,25,12,1200
2022-07-25,東京,A002,0,7,700
2022-07-26,東京,A003,5,11,1100
2022-07-27,東京,A001,20,16,1600
2022-07-28,東京,A002,0,9,900
2022-07-29,東京,A003,5,20,2000
2022-07-30,東京,A001,15,5,500
2022-07-31,東京,A002,0,14,1400
2022-08-01,東京,A003,5,8,800
2022-08-02,東京,A001,10,12,1200
2022-08-03,東京,A002,0,7,700
2022-08-04,東京,A003,5,11,1100
2022-08-05,東京,A001,5,16,1600
2022-08-06,東京,A002,0,9,900
2022-08-07,東京,A003,5,20,2000
2022-08-08,東京,A001,10,5,500
2022-08-09,東京,A002,0,14,1400
2022-08-10,東京,A003,5,8,800
2022-08-11,東京,A001,5,10,1000
2022-08-12,東京,A002,0,12,1200
2022-08-13,東京,A003,5,18,1800
2022-08-14,東京,A001,0,20,2000
2022-08-15,東京,A002,5,5,500
2022-08-16,東京,A003,0,10,1000
2022-08-17,東京,A001,5,12,1200
2022-08-18,東京,A002,0,8,800
2022-08-19,東京,A003,5,6,600
2022-08-20,東京,A001,10,14,1400
2022-08-21,東京,A002,0,7,700
2022-08-22,東京,A003,5,10,1000
2022-08-23,東京,A001,15,18,1800
2022-08-24,東京,A002,0,20,2000
2022-08-25,東京,A003,5,10,1000
2022-08-26,東京,A001,10,14,1400
2022-08-27,東京,A002,0,12,1200
2022-08-28,東京,A003,5,16,1600
2022-08-29,東京,A001,0,18,1800
2022-08-30,東京,A002,5,20,2000
2022-08-31,東京,A003,0,10,1000
