date,sales
2022-01-01,100
2022-01-02,150
2022-01-03,200
2022-01-04,250
2022-01-05,300
2022-01-06,350
2022-01-07,400
2022-01-08,450
2022-01-09,500
2022-01-10,550
2022-01-11,600
2022-01-12,650
2022-01-13,700
2022-01-14,750
2022-01-15,800
2022-01-16,850
2022-01-17,900
2022-01-18,950
2022-01-19,1000
2022-01-20,1050
2022-01-21,1100
2022-01-22,1150
2022-01-23,1200
2022-01-24,1250
2022-01-25,1300
2022-01-26,1350
2022-01-27,1400
2022-01-28,1450
2022-01-29,1500
2022-01-30,1550
2022-01-31,1600
2023-01-01,105
2023-01-02,155
2023-01-03,205
2023-01-04,255
2023-01-05,305
2023-01-06,355
2023-01-07,405
2023-01-08,455
2023-01-09,505
2023-01-10,555
2023-01-11,605
2023-01-12,655
2023-01-13,705
2023-01-14,755
2023-01-15,805
2023-01-16,855
2023-01-17,905
2023-01-18,955
2023-01-19,1005
2023-01-20,1055
2023-01-21,1105
2023-01-22,1155
2023-01-23,1205
2023-01-24,1255
2023-01-25,1305
2023-01-26,1355
2023-01-27,1405
2023-01-28,1455
2023-01-29,1505
2023-01-30,1555
2023-01-31,1605
